 Total leads: 2173272
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Samurott-Hisui     |  5.05956% | 109958 |  5.060% | 
 | 2    | Araquanid          |  4.49092% | 97600  |  4.491% | 
 | 3    | Glimmora           |  4.12162% | 89574  |  4.122% | 
 | 4    | Landorus-Therian   |  3.95321% | 85914  |  3.953% | 
 | 5    | Gliscor            |  3.08029% | 66943  |  3.080% | 
 | 6    | Dragapult          |  2.97110% | 64570  |  2.971% | 
 | 7    | Great Tusk         |  2.52854% | 54952  |  2.529% | 
 | 8    | Meowscarada        |  2.31973% | 50414  |  2.320% | 
 | 9    | Ogerpon-Wellspring |  2.16066% | 46957  |  2.161% | 
 | 10   | Ribombee           |  1.75077% | 38049  |  1.751% | 
 | 11   | Torkoal            |  1.73996% | 37814  |  1.740% | 
 | 12   | Iron Treads        |  1.73329% | 37669  |  1.733% | 
 | 13   | Ting-Lu            |  1.68994% | 36727  |  1.690% | 
 | 14   | Kyurem             |  1.65032% | 35866  |  1.650% | 
 | 15   | Cinderace          |  1.64931% | 35844  |  1.649% | 
 | 16   | Tinkaton           |  1.53750% | 33414  |  1.537% | 
 | 17   | Slowking-Galar     |  1.46677% | 31877  |  1.467% | 
 | 18   | Darkrai            |  1.39108% | 30232  |  1.391% | 
 | 19   | Pelipper           |  1.34640% | 29261  |  1.346% | 
 | 20   | Rillaboom          |  1.30149% | 28285  |  1.301% | 
 | 21   | Zapdos             |  1.21706% | 26450  |  1.217% | 
 | 22   | Ninetales-Alola    |  1.21099% | 26318  |  1.211% | 
 | 23   | Iron Crown         |  1.20215% | 26126  |  1.202% | 
 | 24   | Ninetales          |  1.15356% | 25070  |  1.154% | 
 | 25   | Garchomp           |  1.11394% | 24209  |  1.114% | 
 | 26   | Garganacl          |  1.08118% | 23497  |  1.081% | 
 | 27   | Hatterene          |  1.06627% | 23173  |  1.066% | 
 | 28   | Raging Bolt        |  1.05633% | 22957  |  1.056% | 
 | 29   | Gholdengo          |  1.03820% | 22563  |  1.038% | 
 | 30   | Primarina          |  0.93509% | 20322  |  0.935% | 
 | 31   | Palafin            |  0.92501% | 20103  |  0.925% | 
 | 32   | Roaring Moon       |  0.90748% | 19722  |  0.907% | 
 | 33   | Deoxys-Speed       |  0.87053% | 18919  |  0.871% | 
 | 34   | Rotom-Wash         |  0.82926% | 18022  |  0.829% | 
 | 35   | Iron Valiant       |  0.78858% | 17138  |  0.789% | 
 | 36   | Grimmsnarl         |  0.77036% | 16742  |  0.770% | 
 | 37   | Iron Moth          |  0.75071% | 16315  |  0.751% | 
 | 38   | Corviknight        |  0.73705% | 16018  |  0.737% | 
 | 39   | Clefable           |  0.70313% | 15281  |  0.703% | 
 | 40   | Scizor             |  0.68749% | 14941  |  0.687% | 
 | 41   | Lokix              |  0.68744% | 14940  |  0.687% | 
 | 42   | Pecharunt          |  0.66876% | 14534  |  0.669% | 
 | 43   | Galvantula         |  0.66830% | 14524  |  0.668% | 
 | 44   | Tyranitar          |  0.65385% | 14210  |  0.654% | 
 | 45   | Dragonite          |  0.64069% | 13924  |  0.641% | 
 | 46   | Keldeo             |  0.60526% | 13154  |  0.605% | 
 | 47   | Weavile            |  0.60278% | 13100  |  0.603% | 
 | 48   | Ogerpon-Cornerstone |  0.54936% | 11939  |  0.549% | 
 | 49   | Walking Wake       |  0.54696% | 11887  |  0.547% | 
 | 50   | Moltres            |  0.54673% | 11882  |  0.547% | 
 | 51   | Enamorus           |  0.52722% | 11458  |  0.527% | 
 | 52   | Serperior          |  0.50882% | 11058  |  0.509% | 
 | 53   | Clodsire           |  0.48581% | 10558  |  0.486% | 
 | 54   | Toxapex            |  0.45945% | 9985   |  0.459% | 
 | 55   | Alomomola          |  0.42425% | 9220   |  0.424% | 
 | 56   | Heatran            |  0.42351% | 9204   |  0.424% | 
 | 57   | Zamazenta          |  0.42070% | 9143   |  0.421% | 
 | 58   | Blaziken           |  0.41293% | 8974   |  0.413% | 
 | 59   | Skarmory           |  0.38546% | 8377   |  0.385% | 
 | 60   | Greninja           |  0.38131% | 8287   |  0.381% | 
 | 61   | Kleavor            |  0.37708% | 8195   |  0.377% | 
 | 62   | Indeedee           |  0.37354% | 8118   |  0.374% | 
 | 63   | Kingambit          |  0.34266% | 7447   |  0.343% | 
 | 64   | Hoopa-Unbound      |  0.32835% | 7136   |  0.328% | 
 | 65   | Quaquaval          |  0.30617% | 6654   |  0.306% | 
 | 66   | Maushold           |  0.30111% | 6544   |  0.301% | 
 | 67   | Ceruledge          |  0.28685% | 6234   |  0.287% | 
 | 68   | Gengar             |  0.27898% | 6063   |  0.279% | 
 | 69   | Weezing-Galar      |  0.27659% | 6011   |  0.277% | 
 | 70   | Blissey            |  0.26844% | 5834   |  0.268% | 
 | 71   | Sandy Shocks       |  0.25823% | 5612   |  0.258% | 
 | 72   | Latios             |  0.25160% | 5468   |  0.252% | 
 | 73   | Mamoswine          |  0.24387% | 5300   |  0.244% | 
 | 74   | Okidogi            |  0.24364% | 5295   |  0.244% | 
 | 75   | Volcanion          |  0.24304% | 5282   |  0.243% | 
 | 76   | Incineroar         |  0.24014% | 5219   |  0.240% | 
 | 77   | Cloyster           |  0.23587% | 5126   |  0.236% | 
 | 78   | Forretress         |  0.23554% | 5119   |  0.236% | 
 | 79   | Thundurus-Therian  |  0.23228% | 5048   |  0.232% | 
 | 80   | Iron Hands         |  0.22501% | 4890   |  0.225% | 
 | 81   | Azumarill          |  0.22450% | 4879   |  0.225% | 
 | 82   | Tornadus-Therian   |  0.21649% | 4705   |  0.216% | 
 | 83   | Metagross          |  0.21617% | 4698   |  0.216% | 
 | 84   | Hydrapple          |  0.21479% | 4668   |  0.215% | 
 | 85   | Espeon             |  0.21208% | 4609   |  0.212% | 
 | 86   | Pincurchin         |  0.20941% | 4551   |  0.209% | 
 | 87   | Mew                |  0.20605% | 4478   |  0.206% | 
 | 88   | Arcanine-Hisui     |  0.20163% | 4382   |  0.202% | 
 | 89   | Smeargle           |  0.20122% | 4373   |  0.201% | 
 | 90   | Excadrill          |  0.19869% | 4318   |  0.199% | 
 | 91   | Kommo-o            |  0.19169% | 4166   |  0.192% | 
 | 92   | Klefki             |  0.19013% | 4132   |  0.190% | 
 | 93   | Ogerpon            |  0.18912% | 4110   |  0.189% | 
 | 94   | Sinistcha          |  0.18332% | 3984   |  0.183% | 
 | 95   | Azelf              |  0.18129% | 3940   |  0.181% | 
 | 96   | Talonflame         |  0.17715% | 3850   |  0.177% | 
 | 97   | Ursaluna           |  0.17637% | 3833   |  0.176% | 
 | 98   | Masquerain         |  0.15985% | 3474   |  0.160% | 
 | 99   | Ambipom            |  0.15819% | 3438   |  0.158% | 
 | 100  | Goodra-Hisui       |  0.15534% | 3376   |  0.155% | 
 | 101  | Swampert           |  0.14637% | 3181   |  0.146% | 
 | 102  | Hydreigon          |  0.14296% | 3107   |  0.143% | 
 | 103  | Leavanny           |  0.14255% | 3098   |  0.143% | 
 | 104  | Hippowdon          |  0.14016% | 3046   |  0.140% | 
 | 105  | Empoleon           |  0.13648% | 2966   |  0.136% | 
 | 106  | Skeledirge         |  0.13625% | 2961   |  0.136% | 
 | 107  | Politoed           |  0.13533% | 2941   |  0.135% | 
 | 108  | Infernape          |  0.13132% | 2854   |  0.131% | 
 | 109  | Jirachi            |  0.13109% | 2849   |  0.131% | 
 | 110  | Zoroark-Hisui      |  0.12921% | 2808   |  0.129% | 
 | 111  | Slowking           |  0.12893% | 2802   |  0.129% | 
 | 112  | Slither Wing       |  0.12470% | 2710   |  0.125% | 
 | 113  | Jolteon            |  0.12437% | 2703   |  0.124% | 
 | 114  | Staraptor          |  0.12267% | 2666   |  0.123% | 
 | 115  | Amoonguss          |  0.12253% | 2663   |  0.123% | 
 | 116  | Whimsicott         |  0.12111% | 2632   |  0.121% | 
 | 117  | Bronzong           |  0.12074% | 2624   |  0.121% | 
 | 118  | Gyarados           |  0.11798% | 2564   |  0.118% | 
 | 119  | Salazzle           |  0.11789% | 2562   |  0.118% | 
 | 120  | Vikavolt           |  0.11733% | 2550   |  0.117% | 
 | 121  | Barraskewda        |  0.11513% | 2502   |  0.115% | 
 | 122  | Electrode-Hisui    |  0.11255% | 2446   |  0.113% | 
 | 123  | Magnezone          |  0.11223% | 2439   |  0.112% | 
 | 124  | Conkeldurr         |  0.11112% | 2415   |  0.111% | 
 | 125  | Thundurus          |  0.10841% | 2356   |  0.108% | 
 | 126  | Blastoise          |  0.10809% | 2349   |  0.108% | 
 | 127  | Dondozo            |  0.10795% | 2346   |  0.108% | 
 | 128  | Sableye            |  0.10606% | 2305   |  0.106% | 
 | 129  | Latias             |  0.10445% | 2270   |  0.104% | 
 | 130  | Haxorus            |  0.10422% | 2265   |  0.104% | 
 | 131  | Mimikyu            |  0.10321% | 2243   |  0.103% | 
 | 132  | Porygon-Z          |  0.10036% | 2181   |  0.100% | 
 | 133  | Zapdos-Galar       |  0.09828% | 2136   |  0.098% | 
 | 134  | Cinccino           |  0.09815% | 2133   |  0.098% | 
 | 135  | Breloom            |  0.09700% | 2108   |  0.097% | 
 | 136  | Muk-Alola          |  0.09598% | 2086   |  0.096% | 
 | 137  | Quagsire           |  0.09516% | 2068   |  0.095% | 
