 Total battles: 1086636
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Great Tusk         | 27.08423% | 588614 | 27.084% | 462714 | 26.926% | 
 | 2    | Kingambit          | 20.47314% | 444937 | 20.473% | 299818 | 17.447% | 
 | 3    | Gholdengo          | 19.20289% | 417331 | 19.203% | 314628 | 18.308% | 
 | 4    | Dragapult          | 15.73770% | 342023 | 15.738% | 268279 | 15.611% | 
 | 5    | Iron Valiant       | 15.13451% | 328914 | 15.135% | 237325 | 13.810% | 
 | 6    | Dragonite          | 14.36406% | 312170 | 14.364% | 228697 | 13.308% | 
 | 7    | Raging Bolt        | 13.21546% | 287208 | 13.215% | 216741 | 12.612% | 
 | 8    | Ogerpon-Wellspring | 12.77369% | 277607 | 12.774% | 221976 | 12.917% | 
 | 9    | Gliscor            | 12.48344% | 271299 | 12.483% | 225183 | 13.104% | 
 | 10   | Landorus-Therian   | 12.07364% | 262393 | 12.074% | 232506 | 13.530% | 
 | 11   | Iron Moth          | 11.67916% | 253820 | 11.679% | 193964 | 11.287% | 
 | 12   | Slowking-Galar     | 11.62330% | 252606 | 11.623% | 211132 | 12.286% | 
 | 13   | Samurott-Hisui     | 11.52359% | 250439 | 11.524% | 224248 | 13.049% | 
 | 14   | Roaring Moon       | 11.42163% | 248223 | 11.422% | 180129 | 10.482% | 
 | 15   | Zamazenta          | 10.88055% | 236464 | 10.881% | 174988 | 10.183% | 
 | 16   | Corviknight        | 10.81912% | 235129 | 10.819% | 193776 | 11.276% | 
 | 17   | Cinderace          |  9.80471% | 213083 |  9.805% | 167182 |  9.728% | 
 | 18   | Kyurem             |  9.37089% | 203655 |  9.371% | 158677 |  9.234% | 
 | 19   | Ting-Lu            |  8.58650% | 186608 |  8.586% | 161970 |  9.425% | 
 | 20   | Darkrai            |  8.47331% | 184148 |  8.473% | 142351 |  8.283% | 
 | 21   | Glimmora           |  8.46070% | 183874 |  8.461% | 163234 |  9.499% | 
 | 22   | Iron Treads        |  8.32160% | 180851 |  8.322% | 149453 |  8.697% | 
 | 23   | Hatterene          |  7.73999% | 168211 |  7.740% | 132850 |  7.731% | 
 | 24   | Meowscarada        |  7.35670% | 159881 |  7.357% | 129117 |  7.513% | 
 | 25   | Araquanid          |  7.23430% | 157221 |  7.234% | 146039 |  8.498% | 
 | 26   | Primarina          |  6.92421% | 150482 |  6.924% | 122589 |  7.134% | 
 | 27   | Zapdos             |  6.89835% | 149920 |  6.898% | 127251 |  7.405% | 
 | 28   | Rillaboom          |  6.80877% | 147973 |  6.809% | 119978 |  6.982% | 
 | 29   | Pecharunt          |  6.78815% | 147525 |  6.788% | 120183 |  6.994% | 
 | 30   | Iron Crown         |  6.48087% | 140847 |  6.481% | 115081 |  6.697% | 
 | 31   | Garganacl          |  6.39704% | 139025 |  6.397% | 110097 |  6.407% | 
 | 32   | Moltres            |  6.28541% | 136599 |  6.285% | 115456 |  6.718% | 
 | 33   | Alomomola          |  6.23811% | 135571 |  6.238% | 110443 |  6.427% | 
 | 34   | Walking Wake       |  5.72413% | 124401 |  5.724% | 99350  |  5.781% | 
 | 35   | Enamorus           |  4.93661% | 107286 |  4.937% | 82308  |  4.790% | 
 | 36   | Garchomp           |  4.86488% | 105727 |  4.865% | 86719  |  5.046% | 
 | 37   | Clefable           |  4.77244% | 103718 |  4.772% | 81888  |  4.765% | 
 | 38   | Scizor             |  4.27576% | 92924  |  4.276% | 75541  |  4.396% | 
 | 39   | Tinkaton           |  4.24678% | 92294  |  4.247% | 82289  |  4.788% | 
 | 40   | Ceruledge          |  4.14996% | 90190  |  4.150% | 68446  |  3.983% | 
 | 41   | Dondozo            |  3.87388% | 84190  |  3.874% | 61551  |  3.582% | 
 | 42   | Serperior          |  3.87227% | 84155  |  3.872% | 64205  |  3.736% | 
 | 43   | Sinistcha          |  3.76731% | 81874  |  3.767% | 65340  |  3.802% | 
 | 44   | Torkoal            |  3.76276% | 81775  |  3.763% | 74823  |  4.354% | 
 | 45   | Blissey            |  3.64616% | 79241  |  3.646% | 60616  |  3.527% | 
 | 46   | Clodsire           |  3.61455% | 78554  |  3.615% | 63068  |  3.670% | 
 | 47   | Weavile            |  3.46731% | 75354  |  3.467% | 58214  |  3.388% | 
 | 48   | Pelipper           |  3.25100% | 70653  |  3.251% | 64380  |  3.746% | 
 | 49   | Toxapex            |  3.02042% | 65642  |  3.020% | 53014  |  3.085% | 
 | 50   | Heatran            |  3.01826% | 65595  |  3.018% | 53396  |  3.107% | 
 | 51   | Blaziken           |  2.97841% | 64729  |  2.978% | 48260  |  2.808% | 
 | 52   | Ninetales-Alola    |  2.92743% | 63621  |  2.927% | 56607  |  3.294% | 
 | 53   | Rotom-Wash         |  2.78943% | 60622  |  2.789% | 52083  |  3.031% | 
 | 54   | Lokix              |  2.78773% | 60585  |  2.788% | 49823  |  2.899% | 
 | 55   | Ursaluna           |  2.73813% | 59507  |  2.738% | 47424  |  2.760% | 
 | 56   | Keldeo             |  2.69110% | 58485  |  2.691% | 48387  |  2.816% | 
 | 57   | Skeledirge         |  2.67242% | 58079  |  2.672% | 44358  |  2.581% | 
 | 58   | Greninja           |  2.66497% | 57917  |  2.665% | 44949  |  2.616% | 
 | 59   | Ribombee           |  2.61500% | 56831  |  2.615% | 52007  |  3.026% | 
 | 60   | Tyranitar          |  2.54179% | 55240  |  2.542% | 47227  |  2.748% | 
 | 61   | Deoxys-Speed       |  2.38281% | 51785  |  2.383% | 42876  |  2.495% | 
 | 62   | Excadrill          |  2.26842% | 49299  |  2.268% | 39129  |  2.277% | 
 | 63   | Hydrapple          |  2.17239% | 47212  |  2.172% | 36169  |  2.105% | 
 | 64   | Hoopa-Unbound      |  2.16807% | 47118  |  2.168% | 37394  |  2.176% | 
 | 65   | Ninetales          |  2.14294% | 46572  |  2.143% | 43048  |  2.505% | 
 | 66   | Quaquaval          |  2.10761% | 45804  |  2.108% | 36769  |  2.140% | 
 | 67   | Weezing-Galar      |  2.03412% | 44207  |  2.034% | 36004  |  2.095% | 
 | 68   | Skarmory           |  1.96437% | 42691  |  1.964% | 37133  |  2.161% | 
 | 69   | Iron Hands         |  1.84404% | 40076  |  1.844% | 31641  |  1.841% | 
 | 70   | Latias             |  1.83705% | 39924  |  1.837% | 28687  |  1.669% | 
 | 71   | Palafin            |  1.78303% | 38750  |  1.783% | 35003  |  2.037% | 
 | 72   | Ogerpon-Cornerstone |  1.76154% | 38283  |  1.762% | 31265  |  1.819% | 
 | 73   | Hawlucha           |  1.73273% | 37657  |  1.733% | 27779  |  1.616% | 
 | 74   | Grimmsnarl         |  1.58954% | 34545  |  1.590% | 30040  |  1.748% | 
 | 75   | Maushold           |  1.57587% | 34248  |  1.576% | 26179  |  1.523% | 
 | 76   | Latios             |  1.55135% | 33715  |  1.551% | 26606  |  1.548% | 
 | 77   | Gengar             |  1.51974% | 33028  |  1.520% | 25178  |  1.465% | 
 | 78   | Venusaur           |  1.44708% | 31449  |  1.447% | 24329  |  1.416% | 
 | 79   | Goodra-Hisui       |  1.42269% | 30919  |  1.423% | 25261  |  1.470% | 
 | 80   | Arcanine-Hisui     |  1.40608% | 30558  |  1.406% | 23468  |  1.366% | 
 | 81   | Amoonguss          |  1.40185% | 30466  |  1.402% | 23422  |  1.363% | 
 | 82   | Barraskewda        |  1.37268% | 29832  |  1.373% | 23659  |  1.377% | 
 | 83   | Mimikyu            |  1.34797% | 29295  |  1.348% | 21792  |  1.268% | 
 | 84   | Okidogi            |  1.30228% | 28302  |  1.302% | 23305  |  1.356% | 
 | 85   | Metagross          |  1.30085% | 28271  |  1.301% | 22261  |  1.295% | 
 | 86   | Azumarill          |  1.27839% | 27783  |  1.278% | 22403  |  1.304% | 
 | 87   | Kommo-o            |  1.26795% | 27556  |  1.268% | 20579  |  1.198% | 
 | 88   | Volcanion          |  1.23206% | 26776  |  1.232% | 22070  |  1.284% | 
 | 89   | Thundurus-Therian  |  1.15462% | 25093  |  1.155% | 19723  |  1.148% | 
 | 90   | Zoroark-Hisui      |  1.14307% | 24842  |  1.143% | 9626   |  0.560% | 
 | 91   | Galvantula         |  1.12973% | 24552  |  1.130% | 21888  |  1.274% | 
 | 92   | Hydreigon          |  1.12655% | 24483  |  1.127% | 18738  |  1.090% | 
 | 93   | Incineroar         |  1.08270% | 23530  |  1.083% | 19152  |  1.114% | 
 | 94   | Talonflame         |  1.06379% | 23119  |  1.064% | 18620  |  1.084% | 
 | 95   | Espeon             |  1.03379% | 22467  |  1.034% | 17074  |  0.994% | 
 | 96   | Iron Boulder       |  1.01621% | 22085  |  1.016% | 15710  |  0.914% | 
 | 97   | Mandibuzz          |  1.00678% | 21880  |  1.007% | 17979  |  1.046% | 
 | 98   | Ogerpon            |  0.96661% | 21007  |  0.967% | 16504  |  0.960% | 
 | 99   | Comfey             |  0.94392% | 20514  |  0.944% | 15227  |  0.886% | 
 | 100  | Armarouge          |  0.92161% | 20029  |  0.922% | 15053  |  0.876% | 
 | 101  | Mamoswine          |  0.90150% | 19592  |  0.901% | 16031  |  0.933% | 
 | 102  | Cloyster           |  0.89087% | 19361  |  0.891% | 15036  |  0.875% | 
 | 103  | Haxorus            |  0.88493% | 19232  |  0.885% | 13779  |  0.802% | 
 | 104  | Reuniclus          |  0.88144% | 19156  |  0.881% | 14297  |  0.832% | 
 | 105  | Umbreon            |  0.87987% | 19122  |  0.880% | 14527  |  0.845% | 
